Kode Barang,Barang,Tanggal,Tipe Transaksi,No. Transaksi,Deskripsi,Mutasi,Stok di Tangan,Unit,Harga Rata-Rata,Harga Beli/Jual,Nilai
"",* ACER 3 A314 - 35 N5100 4GB 256GB SSD,30/06/2022,Saldo Awal,"","","",10.0,UNIT,4243019.136496,4369369.369369,42430191.36496
"",* ACER 3 A314 - 35 N5100 4GB 256GB SSD,01/07/2022,Sales Invoice,TN.2022.1768,"",-1.0,9.0,UNIT,4243019.136496,4459459.459459,38187172.228464
"",* ACER 3 A314 - 35 N5100 4GB 256GB SSD,01/07/2022,Sales Invoice,TN.2022.1776,"",-1.0,8.0,UNIT,4243019.136496,4459459.459459,33944153.091968
"",* ACER 3 A314 - 35 N5100 4GB 256GB SSD,02/07/2022,Sales Invoice,TN.2022.1785,"",-1.0,7.0,UNIT,4243019.136496,4369369.369369,29701133.955472
"",* ACER 3 A314 - 35 N5100 4GB 256GB SSD,02/07/2022,Purchase Invoice,JL.2207.00510,"",6.0,13.0,UNIT,4247280.574537,4252252.252252,55214647.468981
"",* ACER 3 A314 - 35 N5100 4GB 256GB SSD,03/07/2022,Sales Invoice,TN.2022.1799,"",-1.0,12.0,UNIT,4247280.574537,4369369.369369,50967366.894443996
"",* ACER 3 A314 - 35 N5100 4GB 256GB SSD,04/07/2022,Purchase Invoice,JL.2207.01275,"",3.0,15.0,UNIT,4248274.91008,4252252.252252,63724123.6512
"",* ACER 3 A314 - 35 N5100 4GB 256GB SSD,04/07/2022,Sales Invoice,TN.2022.1811,"",-1.0,14.0,UNIT,4248274.91008,4369369.369369,59475848.741119996
"",* ACER 3 A314 - 35 N5100 4GB 256GB SSD,05/07/2022,Sales Invoice,TN.2022.1818,"",-1.0,13.0,UNIT,4248274.91008,4369369.369369,55227573.831039995
"",* ACER 3 A314 - 35 N5100 4GB 256GB SSD,05/07/2022,Sales Invoice,TN.2022.1819,"",-1.0,12.0,UNIT,4248274.91008,4369369.369369,50979298.920959994
