Tanggal,Tipe Transaksi,Nomor Transaksi,Nama Panggilan,Status Hari Ini,Memo,Total,Sisa Tagihan,Tanggal Jatuh Tempo,Jumlah Kena Pajak,Total Pajak,Pembayaran,Email,Alamat Penagihan,Alamat Pengiriman,No Ref,Tag,Gudang,Nama Produk,Kode Produk,Deskripsi,Kuantitas,Satuan,Harga per Unit,Diskon Per Baris %,Tarif Pajak,Jumlah Pajak,Jumlah Kena Pajak per Baris,Jumlah Per Baris,Diskon,Pesan,Biaya Pengiriman,Jumlah Pemotongan,Nama Perusahaan,Nomor Pajak,Nomor Ponsel,Nomor Telepon,Sisa Tagihan Hari Ini,Diskon %
01/07/2026,Faktur Pembelian,17770,CV AIRAV PUTRA,Lunas,"",812500.0,0.0,01/07/2026,812500.0,0.0,812500.0,"","","","","","",BATERAI ABC ALKALINE AA,"","",80.0,PCS,4062.5,0.00 %,"",0.0,325000.0,325000.0,0.0,"",0.0,0.0,"","","","",0.0,0.0
01/07/2026,Faktur Pembelian,17770,CV AIRAV PUTRA,Lunas,"",812500.0,0.0,01/07/2026,812500.0,0.0,812500.0,"","","","","","",BATERAI ABC ALKALINE AAA,"","",120.0,PCS,4062.5,0.00 %,"",0.0,487500.0,487500.0,0.0,"",0.0,0.0,"","","","",0.0,0.0
01/07/2026,Faktur Pembelian,17771,ONLINE,Lunas,"",6480000.0,0.0,31/07/2026,6480000.0,0.0,6480000.0,"","","","","","",ACER ASPIRE LITE AL14 N4500 8GB 512GB SSD WIN 11,"","",1.0,UNIT,6480000.0,0.00 %,"",0.0,6480000.0,6480000.0,0.0,"",0.0,0.0,"","","","",0.0,0.0
01/07/2026,Faktur Pembelian,JL.2607.00055,CANDRA (BLESSING),Belum Dibayar,MASUK,37950000.0,37950000.0,31/07/2026,37950000.0,0.0,0.0,"","","","",RAHMAT,"",ASUS VIVOBOOK GO 14 E1404FA  AMD RYZEN 3 7320U 8GB 512GB SSD WIN 11,"","",5.0,UNIT,7590000.0,0.00 %,"",0.0,37950000.0,37950000.0,0.0,"",0.0,0.0,"","","","",37950000.0,0.0
01/07/2026,Faktur Pembelian,JL.2607.00056,CANDRA (BLESSING),Belum Dibayar,MASUK,11980000.0,11980000.0,31/07/2026,11980000.0,0.0,0.0,"","","","",RAHMAT,"",AXIOO MYBOOK HYPE 5 AMD X3 RYZEN 5 3500U 8 256GB SSD WIN 11,"","",2.0,UNIT,5990000.0,0.00 %,"",0.0,11980000.0,11980000.0,0.0,"",0.0,0.0,"","","","",11980000.0,0.0
01/07/2026,Faktur Pembelian,JL.2607.00058,CANDRA (BLESSING),Belum Dibayar,MASUK,11980000.0,11980000.0,31/07/2026,11980000.0,0.0,0.0,"","","","",RAHMAT,"",AXIOO MYBOOK HYPE 5 AMD X3 RYZEN 5 3500U 8 256GB SSD WIN 11,"","",2.0,UNIT,5990000.0,0.00 %,"",0.0,11980000.0,11980000.0,0.0,"",0.0,0.0,"","","","",11980000.0,0.0
01/07/2026,Faktur Pembelian,JL.2607.00224,CANDRA (BLESSING),Belum Dibayar,MASUK,9180000.0,9180000.0,31/07/2026,9180000.0,0.0,0.0,"","","","",RAHMAT,"",PROJECTOR VIEW SONIC SP3 SVGA 4800 ANSI LUMENS PORT HDMI #,"","",2.0,UNIT,4590000.0,0.00 %,"",0.0,9180000.0,9180000.0,0.0,"",0.0,0.0,"","","","",9180000.0,0.0
01/07/2026,Faktur Pembelian,NG2026/0592,PT DINAMIKA PERKASA JAYA,Belum Dibayar,masuk ,19000000.0,19000000.0,31/07/2026,19000000.0,0.0,0.0,"","","","","","",SSD SATA 256GB ETOPSO,"","",30.0,PCS,615000.0,0.00 %,"",0.0,18450000.0,18450000.0,0.0,"",0.0,0.0,"","","","",19000000.0,0.0
01/07/2026,Faktur Pembelian,NG2026/0592,PT DINAMIKA PERKASA JAYA,Belum Dibayar,masuk ,19000000.0,19000000.0,31/07/2026,19000000.0,0.0,0.0,"","","","","","",SODIMM DDR3L 4GB ETOPSO,"","",2.0,PCS,275000.0,0.00 %,"",0.0,550000.0,550000.0,0.0,"",0.0,0.0,"","","","",19000000.0,0.0
01/07/2026,Faktur Pembelian,2607002,ANDY (JMK),Lunas,MASUK,2650000.0,0.0,15/07/2026,2650000.0,0.0,2650000.0,"","","","","","",HDD PC OSMOUS CCTV 2TB #,"","",2.0,PCS,1325000.0,0.00 %,"",0.0,2650000.0,2650000.0,0.0,"",0.0,0.0,"","","","",0.0,0.0
01/07/2026,Faktur Pembelian,ACJ01/01/FP/2607/XA00004,PT. ANGKASA CERAH JAYA,Lunas,"",37800000.0,0.0,22/07/2026,37800000.0,0.0,37800000.0,"",SURABAYA,"","",ARIES,"",ACER ASPIRE LITE AL14 N4500 8GB 512GB SSD WIN 11,"","",6.0,UNIT,6300000.0,0.00 %,"",0.0,37800000.0,37800000.0,0.0,"",0.0,0.0,PT. ANGKASA CERAH JAYA,"",0815 5395 1313,"",0.0,0.0
